68903775,New PT $12! $AMD is d only vendor that can challenge both $INTC in PCs servers and NVIDIA in gaming pro-graphics. http://247wallst.com/technology-3/2016/12/08/why-merrill-lynch-now-has-the-highest-amd-target-of-all-over-intel-and-nvidia/,2016-12-08T21:37:14Z
68898475,RECAP 12/8 Unusual Calls (1/2):$INTC Feb 37 C$DIS Apr 105 C$EXPE Dec09 125 C$KKR Jun 16 C$WLL Dec 10 C$WMB May 35 C$S Feb 10 C,2016-12-08T21:03:42Z
68890398,Who is the best chip maker? $INTC $AMD $QCOM or $MU?,2016-12-08T20:23:33Z
68887907,bullish $AMZN $INTC $MU $MSFT $EGLT,2016-12-08T20:08:35Z
68880635,$T 20 day SMA Cross over 50 day SMA: http://www.hashle.org$INTC 50 and day SMA cross over: http://www.hashle.org,2016-12-08T19:29:16Z
68880581,Najarian Brothers See Unusual Options Activity In PulteGroup Intel https://benzinga.com/z/8787677 $INTC $PHM,2016-12-08T19:29:19Z
68874871,@money01 Maybe in a couple years if the $amd and $intc deal is more than just rumor.,2016-12-08T18:59:16Z
68873030,$AMD $INTC - Advanced Micro Devices Continues Upward Momentum http://crweworld.com/article/markets/48917/advanced-micro-devices-amd-continues-upward-momentum,2016-12-08T18:48:58Z
68872032,Estimize revenue expectations are 0.40% higher than that of Wall Street for $INTC Q4 [Reporting 01/12 AMC]  http://www.estimize.com/intro/intc?utm_content=INTC&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical,2016-12-08T18:43:06Z
68871379,$INTC Do I see $36???,2016-12-08T18:39:05Z
68868572,$INTC Unusual activity: Bullish buying in PHM &amp; INTC http://finance.yahoo.com/video/unusual-activity-bullish-buying-phm-175300556.html,2016-12-08T18:23:16Z
68867832,Why Merrill Lynch Now Has the Highest AMD Target Over Intel and NVIDIA $AMD $INTC $NVDA http://bit.ly/2hb39LC http://bit.ly/NvidiaTTS,2016-12-08T18:19:49Z
68865280,$INTC $AMD Debt may be down and cash may be up but S&amp;P Global data show that AMD is still burning cash at the rate of $127 million a year.,2016-12-08T18:06:42Z
68865250,Hot Options Report For Midday December 8 2016 - $BAC $BX $AAPL $INTC - http://www.theoptionsinsider.com/hot-options-report-midday-december-8-2016-bac-bx-aapl-intc/,2016-12-08T18:06:36Z
68864761,AMD Rallies on Analyst&#39;s Big Double Upgrade; What Its Stock Chart Says $AMD $NVDA $MU $INTC http://bit.ly/2haaQE9 @jimcramer @thestreet,2016-12-08T18:04:00Z
68861861,AMD Stock Upgraded: What You Need to Know $INTC $NVDA $AMD http://bit.ly/081216INTC1,2016-12-08T17:48:30Z
68859902,$INTC Intel-owned Voke NFL to offer Broncos game highlights in virtual reality http://www.bizjournals.com/denver/news/2016/12/02/intel-owned-voke-nfl-to-offer-broncos-game.html?ana=yahoo,2016-12-08T17:37:41Z
68858840,$INTC steady accumulation as DOW  marching toward 20000 by end of 2016.,2016-12-08T17:31:48Z
68857191,@stockerz no advice. I am long here. Also $QCOM  and $INTC just passing on info that I thought came from a credible source,2016-12-08T17:22:50Z
68855017,US stocks index trio books a fresh record high http://tinyurl.com/zyls7xs via @proactive_NA $AMD $EW $TLRD $INTC,2016-12-08T17:11:48Z
68851466,$INTC Acacia: Dominating Optics But Priced In Says Morgan Stanley http://blogs.barrons.com/techtraderdaily/2016/12/08/acacia-dominating-optics-but-priced-in-says-morgan-stanley-2/,2016-12-08T16:51:55Z
68850922,$INTC #Microsoft Provides Details On Virtual Reality &amp;Project Evo Partnerships With #QUALCOMM And #Intel http://www.benzinga.com/news/16/12/8786402/microsoft-provides-details-on-virtual-reality-and-project-evo-partnerships-with-q $MSFT $QCOM,2016-12-08T16:49:16Z
68849094,Intel and Qualcomm Look to Transform Themselves as Their Core Businesses Flatline $INTC http://dlvr.it/Mr7ldJ,2016-12-08T16:39:08Z
68848045,Augmented Reality Stocks: What to Watch in 2017 $INTC $AAPL $GOOG $GOOGL $MSFT $NVDA http://bit.ly/081216INTC,2016-12-08T16:33:55Z
68848013,$AMD #AdvancedMicroDevices Altman Z-Score Lag Behind $NVDA  #NVIDIA and $INTC #Intel - https://goo.gl/hj0BdR,2016-12-08T16:33:23Z
68847741,Microsoft Provides Details On Virtual Reality And Project Evo Partnerships With QUALCOMM And Intel http://benzinga.com/z/8786402 $INTC $MSFT $QCOM,2016-12-08T16:32:00Z
68844623,$INTC Price is slightly above 50 dmaLets march toward $36lol.,2016-12-08T16:17:39Z
68841843,When Will Cypress&#39;s Programmable Solutions Division Return to Profit? http://marketrealist.com/?p=1788165 $XLNX $INTC $CY $NXPI,2016-12-08T16:05:17Z
68841029,$AMD Once again say thank you to the $NVDA fanboys when you see them. Show love to $INTC folks and get that QUAN!,2016-12-08T16:01:16Z
68837802,How Israel Made Startups A National Priority https://benzinga.com/z/8782169 $AAPL $INTC $MSFT $PYPL,2016-12-08T15:46:43Z
68834328,$INTC $AMD never made real money always spends investors moneylol.,2016-12-08T15:30:36Z
68833727,Should You Buy $AMD Stock On Intel Deal Rumors? $INTC http://amigobulls.com/articles/should-you-buy-amd-stock-on-intel-corporation-deal-rumors-advanced-micro-devices-inc,2016-12-08T15:27:46Z
68827330,BULLISH CALL FLOW in $INTC SIZE $518K AND $37.0 STRIKE REF PRICE $35.53 EXPIRY FEB 2017,2016-12-08T14:58:24Z
68825849,$INTC 37 Calls BUYING Activity expiring on 17th Feb Vol 1213,2016-12-08T14:51:58Z
68824379,$INTC its time to break 35-36 resistance this week.,2016-12-08T14:45:26Z
68824260,$INTC Feb 37 Call Buyer +7500 for $0.69,2016-12-08T14:44:52Z
68824172,$INTC 37 Calls BUYING Activity expiring on 17th Feb Vol 7500,2016-12-08T14:44:28Z
68823921,$INTC 37 Calls BUYING Activity expiring on 17th Feb Vol 1345,2016-12-08T14:43:24Z
68819988,$INTC valuation profitability and cash flow snapshot https://stockrow.com/INTC/snapshots,2016-12-08T14:23:15Z
68817702,Recent $INTC technical alerts: 50 DMA Resistance plus 3 more alerts... http://swingtradebot.com/equities/INTC,2016-12-08T14:08:45Z
68817432,MACD(12 26 9) Bull Crossover Stocks: $DLPH $GPK $HON $HRB $INTC$PHM $QCOM $SO  http://www.ninestocks.com/2016/12/macd12-26-9-bull-crossover-stocks-delphi-automotive-plc-dlph-graphic-packaging-holding-company-gpk-honeywell-international-inc-hon-hr-block-hrb-intel-corp-intc-pultegroup-phm/,2016-12-08T14:06:36Z
68816319,$MU operating margins are now way below $INTC https://stockrow.com/share/8dc93a470b416057ed8111fa288bdf4b,2016-12-08T13:57:54Z
68814680,Estimize EPS expectations are 1.84% higher than that of Wall Street for $INTC Q4 [Reporting 01/12 AMC]  http://www.estimize.com/intro/intc?utm_content=INTC&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical,2016-12-08T13:43:06Z
68812804,What This New Personal-Computer Market Forecast Could Mean for Intel Corporation: http://bit.ly/051216INTC3 $INTC,2016-12-08T13:22:28Z
68812196,$INTC (+0.0% pre) Microsoft $MSFT Unveils Windows 10 for Qualcomm $QCOM Chips a Blow to Intel - BBGhttp://ooc.bz/l/8117,2016-12-08T13:15:14Z
68811892,$AMD $INTC This is a good video that illustrates why AMD will be a $100 stock by the end of 2017.,2016-12-08T13:11:14Z
68811503,$INTC Nanotube Chip Firm Nantero Gets $21 Million to Take on Memory Market http://www.wsj.com/articles/nanotube-chip-firm-nantero-gets-21-million-to-take-on-memory-market-1481200203,2016-12-08T13:06:43Z
68810395,$AMD $INTC  looks like a good trade opportunity today here. The idea is long,2016-12-08T12:52:13Z
68809896,Wall Street Analysts Reiterate Intel and Foot Locker at Buy: http://bit.ly/051216INTC $INTC $CNSL $BA $WCC $SHW $FL $ANET $BERY,2016-12-08T12:44:15Z
68807119,Option Trading Strategy Results Weekly Expiration: http://bit.ly/051216AAPL1 $INTC $GS $TXN $ORCL $XLK,2016-12-08T11:42:59Z
68807064,More traders expect upside reversal and open long positions when $INTC falls: http://bit.ly/051216INTC1,2016-12-08T11:40:44Z
68805604,Is Micron Stock Worth $30 A Share? $MU $INTC $WDC http://amigobulls.com/articles/is-micron-stock-worth-30-a-share-micron-technology-inc-nasdaq-mu,2016-12-08T10:22:22Z
68804251,$INTC Levels. @1simpletrader,2016-12-08T08:49:28Z
68804211,$INTC The cup of tea of Intel. Intel Coporation ($INTC) is currently drawing a perfect Cup and handle figure. The drawi,2016-12-08T08:44:44Z
68804141,$INTC Intel next-generation top-end CPU platforms ready for 3Q17 http://www.digitimes.com/news/a20161208PD201.html,2016-12-08T08:37:56Z
68802071,Microsoft Unveils Windows 10 for Qualcomm Chips a Blow to Intel $MSFT $QCOM $INTC $NXPI $SOXX $SMH $USD $SOXL $SOXS https://www.bloomberg.com/news/articles/2016-12-08/microsoft-unveils-windows-10-for-qualcomm-chips-a-blow-to-intel-iwfrztwm,2016-12-08T06:09:40Z
68798241,Here’s what 73 Estimize analysts believe $INTC will report for Q4 2016 revenue [Reporting 01/12 AMC]  http://www.estimize.com/intro/intc?utm_content=INTC&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical,2016-12-08T04:01:23Z
68794747,$INTC Intel and Qualcomm Rethink Their Priorities http://realmoney.thestreet.com/articles/12/07/2016/intel-and-qualcomm-rethink-their-priorities?puc=yahoo&amp;cm_ven=YAHOO,2016-12-08T02:41:40Z
68794354,Intel and Qualcomm Rethink Their Priorities $INTC http://dlvr.it/MqtP6G,2016-12-08T02:34:07Z
68790399,$INTC 3 Tech Stocks That Could Make You Rich http://www.fool.com/investing/2016/12/07/3-tech-stocks-that-could-make-you-rich.aspx,2016-12-08T01:17:58Z
68788829,MACD Crossover $GE $XRX $INTC $EWZ $KO $HPQ $XLK $CTSH http://www.stock-screener.org/macd-crossover.aspx,2016-12-08T00:52:11Z
68786805,Intel Corp. $INTC Bullish CCI Signal on 12/07/16 http://dlvr.it/Mqrm0W,2016-12-08T00:21:08Z
68782959,$INTC - $AMD Deal Would Be a Win-Win http://m.nasdaq.com/article/intel-amd-deal-would-be-a-win-win-cm718320,2016-12-07T23:24:07Z
68781995,Here’s what 73 Estimize analysts believe $INTC will report for Q4 2016 EPS [Reporting 01/12 AMC]  http://www.estimize.com/intro/intc?utm_content=INTC&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical,2016-12-07T23:10:56Z
68780729,$INTC Qualcomm Challenges Intel&#39;s Data Center Dominance http://www.investopedia.com/stock-analysis/120716/qualcomm-challenges-intels-data-center-dominance-qcom-intc.aspx,2016-12-07T22:54:56Z
68780336,Interesting CEO comments submitted on the $INTC call transcript http://www.conferencecalltranscripts.org/include?location=http://seekingalpha.com/article/4028962-intels-intc-management-barclays-global-tmt-conference-brokers-conference-transcript,2016-12-07T22:49:46Z
68772806,$AMD and $INTC working together is nothing new. AMD licensed the X86 code base from Intel then Intel licensed the 64bit X86_64 from AMD. Win,2016-12-07T21:28:39Z
68772209,$AMD $INTC These companies are not out to kill each other each has their own financial issues and reasons to work together.,2016-12-07T21:23:54Z
68770929,$INTC 5G on horizon: Next generation of high- speed mobile web gets Austin debut http://www.bizjournals.com/austin/news/2016/12/07/5g-on-horizon-next-generation-of-high-speed-mobile.html?ana=yahoo,2016-12-07T21:14:45Z
68763063,@michie everyone your shoes is but it doesn&#39;t seem to be happening maybe if the $amd and $intc rumors are shown to be true there might be,2016-12-07T20:31:13Z
68760596,$AMD https://www.youtube.com/watch?v=gEw3CaNSbUo  AMD has done a great job improving drivers &amp; will dominate in DX12 when Vega comes out = WHY $INTC needs AMD,2016-12-07T20:16:18Z
68758702,Why Did BlackBerry Partner with Ford? http://marketrealist.com/?p=1793023 $BBRY $F $INTC $NVDA $GOOG,2016-12-07T20:05:11Z
68751163,$INTC Dow is marching toward 20000 and shall pull all the dow&#39;s stocks.,2016-12-07T19:17:56Z
