id,text,date
1.25E+18,"Happy Hour #118- New Beginnings A Tour Of My New Trading Office Check out my new office, some of my new projects, and let me hear your feedback https://www.youtube.com/watch?v=duQMgBrOTZM&amp;feature=emb_logo #SaturdayThoughts $SPY $FB $TWTR #SaturdayMorning",4/4/20 16:27
1.25E+18,"$GOOGL, $FB, $TWTR https://bit.ly/2UIcBeQ",4/4/20 16:25
1.25E+18,"Puru, Any thoughts to add more of $PINS ? And any word on $FB query would be helpful. Thanks!",4/4/20 16:19
1.25E+18,~3% #coronavirus Death Rate Seems Remaining Steady. $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe,4/4/20 16:19
1.25E+18,"Happy Hour #118- New Beginnings A Tour Of My New Trading Office Check out my new office, some of my new projects, and let me hear your feedback https://thelincolnlist.com/15970-2/ #SaturdayThoughts $SPY $FB $TWTR #SaturdayMorning",4/4/20 16:19
1.25E+18,$QQQ $TWTR $FB $F $spy $TSLA,4/4/20 16:19
1.25E+18,“ Put your money where your business is “ ~@Facebook #SmallBusiness #SmallBizRelief #SmallBusinessRelief #SmallBiz #SmallBizWarriors #SmallBizRecovery #SmallBusinessSaturday #SBAloans $AMZN $FB https://benzinga.com/z/15735684#.Xoiy6To2YNo.twitter #via @benzinga,4/4/20 16:19
1.25E+18,Futures trading system. Hybrid Multi-Strat 49: https://profectussystems.autotradenow.com/details/83833839 #futures #trading $ES_F $SPY $TSLA $AAPL $NFLX $FB,4/4/20 16:17
1.25E+18,FUTURE PROVES PAST Q POSTED THIS ALL READY HABBENING NoSuchAgency ADM R $FB $GOOG $AAPL $AMZN #WakeUpAmerica,4/4/20 16:13
1.25E+18,"“Bad companies are destroyed by crisis. Good companies survive them. Great companies are improved by them.” - Andy Grove, fmr CEO, Intel #coronavirus #COVID2019 $crm $adbe $now $nke $sbux $brk $mco $intu $jpm $fb $goog $amzn $keys $wmt @jimcramer @ReformedBroker @stephenLweiss",4/4/20 16:06
1.25E+18,How to use the Event-Driven Insights Screener to find trade ideas in $GOOG and $FB ,4/4/20 16:00
1.25E+18,"Our #LEVELS indicator will AUTOMATICALLY plot any combination of preset levels you desire from today's/yesterdays price action. Choose from 10 custom levels, or use them all! Visit us http://SCRIPTSTOTRADE.COM $XSAP $CEI $ECOR $WLL $SRNE $CAPR $APA $SPY $TSLA $FB $AMZN #stocks",4/4/20 15:57
1.25E+18,Screen through high rated articles for US Tech Kings at once $AAPL $GOOG $FB http://www.cityfalcon.com/watchlists?name=US%20Tech%20Giants&amp;utm_campaign=T_AT,4/4/20 15:44
1.25E+18,$wynn $mgm $eri $alk $save $dis $tsla $zm $et $lyft $uber $snap $czr $twtr $fb $aapl $amzn,4/4/20 15:43
1.25E+18,It's ugly in advertising - Barron's $AMCX $VIAC $DISCA $FB $TWTR $GOOGL $NYT $NWSA $MDP $GCI,4/4/20 15:41
1.25E+18,I think $FB acquiring it would be the best thing for the product!,4/4/20 15:37
1.25E+18,"Scan 4/6 $BBBY $LK $AMRN $APT $OXY $USO $HAL $SHOP $NFLX $DAL $AAL $JBLU $ETSY $EXPE $IMAX $FB $ZM ++ more https://investorsunderground.com/s/yCS06 Be nimble, be able to change your mind on a dime, that is the market we are in.",4/4/20 15:35
1.25E+18,The Weekly Watchlist reviews the best stocks for options trading. We go over key levels of support and resistance and create an actionable game plan for the week ahead. #OptionsTrading #Stocks $SPY $QQQ $IWM $AAPL $NFLX $TSLA $BABA $FB $NVDA $MSFT $AMZN,4/4/20 15:34
1.25E+18,"$FB $TWTR: MLM sellers are asking for cash to donate products to health workers, but experts say it’s a marketing…: https://www.StockNewsWires.com/fb-twtr-mlm-sellers-are-asking-for-cash-to-donate-products-to-health-workers-but-experts-say-its-a-marketing-ploy/",4/4/20 15:31
